Waktu;Nilai CIF (US$)
October 2023;77862854
October 2023;15991581
November 2023;5860346
November 2023;23047395
November 2023;21121354
November 2023;122894067
November 2023;6157318
November 2023;1082832
November 2023;29054038
November 2023;118778021
November 2023;69306391
November 2023;672567698
November 2023;20839921
November 2023;195349945
November 2023;7828916
November 2023;502611
November 2023;27963010
November 2023;4576244
November 2023;304917684
November 2023;73236770
November 2023;35678036
November 2023;28262899
November 2023;97108562
November 2023;12709731
November 2023;346520299
November 2023;104624910
November 2023;75291773
November 2023;201006258
November 2023;3038280244
November 2023;204280883
November 2023;593683678
November 2023;102349850
November 2023;131052728
November 2023;128847457
November 2023;110882721
November 2023;55827278
November 2023;51172900
November 2023;689086
November 2023;5171141
November 2023;290424480
November 2023;902499960
November 2023;249045208
November 2023;54454713
November 2023;54156902
November 2023;106733
November 2023;33225684
November 2023;490526
November 2023;75814
November 2023;71935274
November 2023;114217279
November 2023;15787864
November 2023;679705
November 2023;5360040
November 2023;147544068
November 2023;22522176
November 2023;167802989
November 2023;102989997
November 2023;61783587
November 2023;323636
November 2023;27908292
November 2023;64178316
November 2023;137715707
November 2023;12264246
November 2023;14742305
November 2023;19029702
November 2023;84913925
November 2023;4417046
November 2023;3003477
November 2023;3994839
November 2023;43913775
November 2023;75988056
November 2023;59135477
November 2023;221011488
November 2023;921462503
November 2023;354259701
November 2023;116489567
November 2023;7399485
November 2023;173269378
November 2023;5039028
November 2023;33174303
November 2023;2454101
November 2023;4894133
November 2023;54124367
November 2023;84299326
November 2023;2864269692
November 2023;2306694043
November 2023;26319549
November 2023;654545958
November 2023;106799358
November 2023;32810279
November 2023;243820486
November 2023;31598589
November 2023;12717586
November 2023;8693031
November 2023;173351745
November 2023;47193613
November 2023;59939841
November 2023;1039478
November 2023;38008818
November 2023;33694149
December 2023;48842719
December 2023;97844649
December 2023;34790922
December 2023;101009224
December 2023;6064091
December 2023;972388
December 2023;137506547
December 2023;160068156
December 2023;36902800
December 2023;769644924
December 2023;17967525
December 2023;143784051
December 2023;7801231
December 2023;292168
December 2023;22137835
December 2023;5532016
December 2023;379699893
December 2023;67177026
December 2023;40465902
December 2023;27032413
December 2023;86113513
December 2023;20856820
December 2023;332296562
December 2023;100187464
December 2023;122421033
December 2023;248834577
December 2023;3897292720
December 2023;185806088
December 2023;546341157
December 2023;94671338
December 2023;160902067
December 2023;104804493
December 2023;100257291
December 2023;52088147
December 2023;45834203
December 2023;15518524
December 2023;6250803
December 2023;272697578
December 2023;745975217
December 2023;239024553
December 2023;42261444
December 2023;46809848
December 2023;53056
December 2023;38694928
December 2023;404450
December 2023;36118
December 2023;81681634
December 2023;140783653
December 2023;13875691
December 2023;41708
December 2023;5075254
December 2023;135491875
December 2023;20048141
December 2023;133608857
December 2023;101805701
December 2023;49004844
December 2023;272235
December 2023;26122727
December 2023;50596167
December 2023;119470226
December 2023;27030865
December 2023;28019214
December 2023;13722650
December 2023;99020575
December 2023;3995603
December 2023;2545775
December 2023;4510017
December 2023;52711238
December 2023;67000623
December 2023;41426512
December 2023;234017230
December 2023;952142948
December 2023;307232828
December 2023;113436931
December 2023;9716397
December 2023;156202276
December 2023;6075849
December 2023;28652343
December 2023;6034124
December 2023;6117089
December 2023;45066818
December 2023;75883036
December 2023;2740459544
December 2023;1956308468
December 2023;18761334
December 2023;649537366
December 2023;21439770
December 2023;90829615
December 2023;357590618
December 2023;26330164
December 2023;10729879
December 2023;17574120
December 2023;161495592
December 2023;34250826
December 2023;56056500
December 2023;328399
December 2023;69710565
December 2023;125326570
January 2024;5860346
January 2024;23047395
January 2024;21121354
January 2024;122894067
January 2024;6157318
January 2024;1082832
January 2024;29054038
January 2024;118778021
January 2024;69306391
January 2024;672567698
January 2024;20839921
January 2024;195349945
January 2024;7828916
January 2024;502611
January 2024;27963010
January 2024;4576244
January 2024;304917684
January 2024;73236770
January 2024;35678036
January 2024;28262899
January 2024;97108562
January 2024;12709731
January 2024;346520299
January 2024;104624910
January 2024;75291773
January 2024;201006258
January 2024;3038280244
January 2024;204280883
January 2024;593683678
January 2024;102349850
January 2024;131052728
January 2024;128847457
January 2024;110882721
January 2024;55827278
January 2024;51172900
January 2024;689086
January 2024;5171141
January 2024;290424480
January 2024;902499960
January 2024;249045208
January 2024;54454713
January 2024;54156902
January 2024;106733
January 2024;33225684
January 2024;490526
January 2024;75814
January 2024;71935274
January 2024;114217279
January 2024;15787864
January 2024;679705
January 2024;5360040
January 2024;147544068
January 2024;22522176
January 2024;167802989
January 2024;102989997
January 2024;61783587
January 2024;323636
January 2024;27908292
January 2024;64178316
January 2024;137715707
January 2024;12264246
January 2024;14742305
January 2024;19029702
January 2024;84913925
January 2024;4417046
January 2024;3003477
January 2024;3994839
January 2024;43913775
January 2024;75988056
January 2024;59135477
January 2024;221011488
January 2024;921462503
January 2024;354259701
January 2024;116489567
January 2024;7399485
January 2024;173269378
January 2024;5039028
January 2024;33174303
January 2024;2454101
January 2024;4894133
January 2024;54124367
January 2024;84299326
January 2024;2864269692
January 2024;2306694043
January 2024;26319549
January 2024;654545958
January 2024;106799358
January 2024;32810279
January 2024;243820486
January 2024;31598589
January 2024;12717586
January 2024;8693031
January 2024;173351745
January 2024;47193613
January 2024;59939841
January 2024;1039478
January 2024;38008818
January 2024;33694149
February 2024;11035964
February 2024;5372500
February 2024;17740774
February 2024;87650562
February 2024;7811856
February 2024;1108250
February 2024;30449813
February 2024;89414279
February 2024;56924671
February 2024;701530238
February 2024;53556001
February 2024;159931552
February 2024;7665833
February 2024;221112
February 2024;17816112
February 2024;3525566
February 2024;295763071
February 2024;61336245
February 2024;34217887
February 2024;23821887
February 2024;97224541
February 2024;13160780
February 2024;345355958
February 2024;128693328
February 2024;85162296
February 2024;152904956
February 2024;3377104621
February 2024;226341063
February 2024;591892936
February 2024;93472183
February 2024;150777203
February 2024;113128336
February 2024;125865552
February 2024;56908431
February 2024;46311683
February 2024;12086031
February 2024;4438744
February 2024;281718885
February 2024;957067753
February 2024;221423795
February 2024;42299990
February 2024;53284565
February 2024;226535
February 2024;37680605
February 2024;962281
February 2024;61334
February 2024;112414008
February 2024;127890605
February 2024;13462783
February 2024;169223
February 2024;3487204
February 2024;115694731
February 2024;7616349
February 2024;150323824
February 2024;98274130
February 2024;47809903
February 2024;341148
February 2024;23669868
February 2024;51499467
February 2024;110031938
February 2024;20867614
February 2024;22417311
February 2024;19275173
February 2024;103791812
February 2024;4235089
February 2024;2034021
February 2024;3609383
February 2024;44122881
February 2024;68687286
February 2024;42273252
February 2024;171815859
February 2024;821382808
February 2024;380252165
February 2024;115029578
February 2024;4931980
February 2024;154566491
February 2024;6259606
February 2024;30698235
February 2024;3481957
February 2024;7215532
February 2024;45972860
February 2024;67113571
February 2024;2752257781
February 2024;2248709445
February 2024;24035263
February 2024;742002456
February 2024;13408619
February 2024;85812100
February 2024;281291708
February 2024;28011188
February 2024;12615663
February 2024;47472029
February 2024;161845092
February 2024;42161632
February 2024;54203176
February 2024;301844
February 2024;30543861
February 2024;30377318
March 2024;65801279
March 2024;33242865
March 2024;26828246
March 2024;119753533
March 2024;6225694
March 2024;1051783
March 2024;90252984
March 2024;194843603
March 2024;52953813
March 2024;883715004
March 2024;56846199
March 2024;188090907
March 2024;6632901
March 2024;151748
March 2024;32833975
March 2024;5157183
March 2024;286195257
March 2024;58058697
March 2024;37587672
March 2024;24359259
March 2024;87750657
March 2024;12771270
March 2024;336227629
March 2024;76050658
March 2024;79886476
March 2024;185263455
March 2024;3657604298
March 2024;188416095
March 2024;558786398
March 2024;99810078
March 2024;173503881
March 2024;127480438
March 2024;99656184
March 2024;58260788
March 2024;45628647
March 2024;10124697
March 2024;5682027
March 2024;238639049
March 2024;691524412
March 2024;186226664
March 2024;45239940
March 2024;20474946
March 2024;438756
March 2024;35702590
March 2024;493392
March 2024;53118
March 2024;144253407
March 2024;133903756
March 2024;17244503
March 2024;165111
March 2024;5676445
March 2024;121887269
March 2024;3139563
March 2024;109717016
March 2024;77068590
March 2024;48908903
March 2024;368243
March 2024;24188782
March 2024;51840164
March 2024;108416568
March 2024;23981169
March 2024;24912429
March 2024;6209689
March 2024;52801000
March 2024;3264203
March 2024;786467
March 2024;3578430
March 2024;34864985
March 2024;40056649
March 2024;34547796
March 2024;172971012
March 2024;860466261
March 2024;237007838
March 2024;136165890
March 2024;5917029
March 2024;145280246
March 2024;4729928
March 2024;33232070
March 2024;1553584
March 2024;7257807
March 2024;41311524
March 2024;58995647
March 2024;2279341663
March 2024;2278097144
March 2024;17237205
March 2024;595722216
March 2024;19510888
March 2024;122067935
March 2024;377809546
March 2024;27135608
March 2024;8813791
March 2024;11178496
March 2024;111746392
March 2024;31724987
March 2024;44390143
March 2024;193629
March 2024;36229496
March 2024;30927725
April 2024;58152410
April 2024;67280412
April 2024;27717652
April 2024;109292526
April 2024;9240966
April 2024;733669
April 2024;65963114
April 2024;128178588
April 2024;37366480
April 2024;643047279
April 2024;34993027
April 2024;142910741
April 2024;5334047
April 2024;281819
April 2024;15862403
April 2024;4277704
April 2024;425438720
April 2024;98189820
April 2024;30418878
April 2024;23918402
April 2024;75185536
April 2024;7831336
April 2024;193035108
April 2024;85181802
April 2024;115195357
April 2024;214703430
April 2024;3348924231
April 2024;176422476
April 2024;577894434
April 2024;73930384
April 2024;151464220
April 2024;105970709
April 2024;74720863
April 2024;46253398
April 2024;42930719
April 2024;9822443
April 2024;4468969
April 2024;250166472
April 2024;646001670
April 2024;171402052
April 2024;54295332
April 2024;4578370
April 2024;585414
April 2024;44604977
April 2024;612041
April 2024;29754
April 2024;114563262
April 2024;115947598
April 2024;19206102
April 2024;104981
April 2024;5902920
April 2024;98510766
April 2024;3264651
April 2024;133156621
April 2024;73860245
April 2024;48268506
April 2024;385890
April 2024;24526971
April 2024;54176869
April 2024;147505731
April 2024;22860420
April 2024;19382864
April 2024;4368080
April 2024;52116615
April 2024;2862791
April 2024;1183417
April 2024;2608027
April 2024;39132704
April 2024;45324004
April 2024;38395626
April 2024;247710285
April 2024;735013847
April 2024;300483849
April 2024;103329952
April 2024;10081220
April 2024;147184984
April 2024;4076512
April 2024;24726613
April 2024;1225704
April 2024;7678169
April 2024;43158222
April 2024;67393756
April 2024;2221624841
April 2024;2140423222
